customer_id,first_purchase_date,last_purchase_date,total_quantity,recency,frequency,monetary,life_time
96,2021-04-01,2021-04-01,5,277,1,98.22,277
97,2021-01-23,2021-02-12,4,325,2,25.509999999999998,345
98,2021-04-06,2021-04-06,1,272,1,4.77,272
99,2021-01-17,2021-06-20,12,197,6,97.23,351
100,2021-01-03,2021-01-03,2,365,1,13.129999999999999,365
101,2021-09-24,2021-09-24,11,101,1,31.52,101
102,2021-02-13,2021-02-13,2,324,1,34.33,324
103,2021-02-04,2021-02-04,1,333,1,8.32,333
104,2021-01-28,2021-02-04,6,333,3,40.92,340
105,2021-02-04,2021-03-22,12,287,2,231.35,333
106,2021-02-01,2021-02-19,3,318,2,15.41,336
107,2021-01-16,2021-01-16,6,352,1,40.55,352
108,2021-04-26,2021-09-30,4,95,2,17.82,252
109,2021-01-13,2021-03-05,21,304,5,454.75,355
110,2021-04-01,2021-04-01,3,277,1,15.760000000000002,277
111,2021-01-22,2021-01-22,1,346,1,5.88,346
112,2021-01-17,2021-03-19,20,290,6,449.42,351
113,2021-02-26,2021-07-09,5,178,2,29.68,311
114,2021-05-06,2021-05-06,1,242,1,8.8,242
115,2021-09-05,2021-09-05,6,120,1,39.69,120
116,2021-04-23,2021-04-23,2,255,1,11.87,255
117,2021-01-06,2021-01-06,1,362,1,4.19,362
118,2021-03-01,2021-05-31,11,217,2,126.53999999999999,308
119,2021-04-08,2021-04-08,4,270,1,27.48,270
120,2021-02-22,2021-02-22,1,315,1,3.21,315
121,2021-02-07,2021-02-07,3,330,1,15.29,330
122,2021-04-17,2021-05-06,6,242,2,16.94,261
123,2021-01-20,2021-03-17,4,292,2,35.29,348
124,2021-01-05,2021-01-05,3,363,1,64.81,363
125,2021-03-08,2021-03-08,1,301,1,7.23,301
126,2021-05-13,2021-05-13,1,235,1,5.66,235
127,2021-02-03,2021-02-03,1,334,1,11.18,334
128,2021-02-08,2021-03-31,5,278,3,32.37,329
129,2021-01-09,2021-01-09,1,359,1,7.23,359
130,2021-01-10,2021-02-28,3,309,2,14.879999999999999,358
131,2021-01-03,2021-01-24,21,344,4,192.89,365
132,2021-04-14,2021-04-14,1,264,1,3,264
133,2021-01-06,2021-01-06,3,362,1,16.43,362
134,2021-01-28,2021-01-28,2,340,1,14.86,340
135,2021-08-05,2021-08-05,2,151,1,21.869999999999997,151
136,2021-02-18,2021-03-11,2,298,2,18.27,319
137,2021-01-12,2021-01-12,3,356,1,22.38,356
138,2021-02-13,2021-05-12,2,236,2,5.79,324
139,2021-02-19,2021-02-19,1,318,1,6.35,318
140,2021-02-15,2021-04-25,8,253,4,74.67,322
141,2021-02-18,2021-02-18,1,319,1,9,319
142,2021-01-20,2021-01-20,1,348,1,10.5,348
143,2021-01-24,2021-01-30,3,338,2,16.450000000000003,344
144,2021-01-06,2021-01-06,2,362,1,7.41,362
145,2021-01-08,2021-01-08,5,360,1,41.41,360
146,2021-01-20,2021-01-20,1,348,1,7.44,348
147,2021-01-26,2021-01-26,2,342,1,16.31,342
148,2021-04-27,2021-04-27,1,251,1,10.81,251
149,2021-01-29,2021-06-11,6,206,2,22.89,339
150,2021-11-30,2021-11-30,1,34,1,3.88,34
151,2021-05-15,2021-05-15,1,233,1,20.75,233
152,2021-05-08,2021-05-08,1,240,1,5.88,240
153,2021-01-07,2021-02-25,2,312,2,38.74,361
154,2021-03-18,2021-03-18,1,291,1,1.5,291
155,2021-09-09,2021-09-09,2,116,1,40.19,116
156,2021-08-09,2021-08-09,11,147,1,98.69,147
157,2021-06-21,2021-06-21,1,196,1,2.43,196
158,2021-01-08,2021-02-12,3,325,2,16.81,360
159,2021-02-01,2021-02-01,4,336,1,44.55,336
160,2021-02-25,2021-02-25,1,312,1,14.25,312
161,2021-04-22,2021-04-22,1,256,1,6.35,256
162,2021-01-12,2021-01-12,7,356,1,70.26,356
163,2021-08-18,2021-08-18,2,138,1,18.34,138
164,2021-01-28,2021-01-28,1,340,1,5.79,340
165,2021-01-11,2021-04-06,31,272,7,353.63,357
166,2021-02-26,2021-02-26,1,311,1,2.37,311
167,2021-01-04,2021-04-06,7,272,2,56.82,364
168,2021-03-05,2021-03-05,7,304,1,54.9,304
169,2021-02-15,2021-02-15,4,322,1,14.52,322
170,2021-01-29,2021-01-29,2,339,1,8.59,339
171,2021-02-02,2021-02-02,2,335,1,10.16,335
172,2021-03-20,2021-03-20,1,289,1,2.59,289
173,2021-03-24,2021-03-24,2,285,1,71.7,285
174,2021-03-11,2021-09-27,15,98,3,637,298
175,2021-06-18,2021-06-18,1,199,1,5.32,199
176,2021-01-04,2021-01-27,3,341,3,10.690000000000001,364
177,2021-08-12,2021-08-12,4,144,1,26.8,144
178,2021-01-02,2021-01-02,2,366,1,58.99,366
179,2021-05-06,2021-06-05,9,212,2,90.99000000000001,242
180,2021-01-12,2021-01-12,10,356,1,62.52,356
181,2021-02-04,2021-02-26,15,311,3,278.22,333
182,2021-02-03,2021-02-03,6,334,1,183.77,334
183,2021-02-27,2021-04-13,15,265,4,64.79,310
184,2021-03-19,2021-03-19,1,290,1,2.11,290
185,2021-02-16,2021-02-16,2,321,1,48.489999999999995,321
186,2021-02-02,2021-03-27,8,282,4,67.71,335
187,2021-02-14,2021-02-14,1,323,1,5.12,323
188,2021-01-08,2021-03-22,13,287,3,233.6,360
189,2021-04-03,2021-04-03,2,275,1,30.52,275
190,2021-03-09,2021-03-09,3,300,1,46.79,300
191,2021-01-03,2021-01-03,1,365,1,4.38,365
192,2021-07-27,2021-07-27,1,160,1,5.56,160
193,2021-01-22,2021-02-08,16,329,4,122.87,346
194,2021-01-16,2021-01-16,5,352,1,15.02,352
195,2021-01-02,2021-01-02,2,366,1,13.1,366
196,2021-01-13,2021-01-13,1,355,1,62.52,355
197,2021-01-18,2021-02-27,3,310,2,21.94,350
198,2021-01-12,2021-02-10,15,327,2,196.39,356
199,2021-01-11,2021-01-11,4,357,1,25.89,357
200,2021-02-05,2021-02-05,10,332,1,16.86,332
201,2021-01-15,2021-03-15,4,294,2,23.990000000000002,353
202,2021-01-15,2021-01-27,61,341,2,211.64000000000001,353
203,2021-02-08,2021-02-08,1,329,1,6.68,329
204,2021-02-17,2021-02-17,1,320,1,7.94,320
205,2021-01-20,2021-03-12,9,297,3,49.55,348
206,2021-04-12,2021-04-12,1,266,1,7.12,266
207,2021-04-03,2021-04-03,1,275,1,6.75,275
208,2021-03-08,2021-08-08,7,148,4,48.8,301
209,2021-11-29,2021-11-29,2,35,1,13,35
210,2021-02-09,2021-04-04,15,274,4,284.15,328
211,2021-08-16,2021-08-16,1,140,1,11,140
212,2021-03-19,2021-03-19,4,290,1,15.33,290
213,2021-01-13,2021-07-01,13,186,4,112.03,355
214,2021-05-08,2021-05-17,2,231,2,49.900000000000006,240
215,2021-05-09,2021-05-09,2,239,1,12.23,239
216,2021-01-08,2021-01-08,1,360,1,2.13,360
217,2021-02-24,2021-09-01,20,124,5,263.49,313
218,2021-02-12,2021-02-26,3,311,2,25.46,325
219,2021-01-10,2021-01-10,1,358,1,7.3,358
220,2021-02-15,2021-02-15,2,322,1,13.07,322
221,2021-02-10,2021-08-28,6,128,4,36.97,327
222,2021-01-13,2021-08-19,8,137,5,35.67,355
223,2021-01-07,2021-07-29,4,158,2,9.06,361
224,2021-02-19,2021-03-21,3,288,2,21.69,318
225,2021-03-09,2021-03-09,2,300,1,15.25,300
226,2021-03-03,2021-03-20,13,289,3,83.62,306
227,2021-02-08,2021-02-08,2,329,1,3.28,329
228,2021-02-11,2021-03-25,12,284,3,106.72,326
229,2021-01-12,2021-01-12,4,356,1,15.149999999999999,356
230,2021-02-15,2021-02-15,6,322,1,117.32,322
231,2021-03-19,2021-04-26,5,252,2,29.1,290
232,2021-01-19,2021-01-19,7,349,1,538.88,349
233,2021-04-21,2021-04-21,3,257,1,6.75,257
234,2021-01-11,2021-01-11,2,357,1,13.09,357
235,2021-02-04,2021-02-04,3,333,1,21.22,333
236,2021-06-14,2021-09-26,2,99,2,22.310000000000002,203
237,2021-01-04,2021-05-12,2,236,2,12,364
238,2021-05-05,2021-06-28,2,189,2,4.07,243
239,2021-04-17,2021-04-17,3,261,1,19.67,261
240,2021-01-29,2021-01-29,2,339,1,36.97,339
241,2021-02-02,2021-02-02,3,335,1,18,335
242,2021-02-15,2021-02-15,7,322,1,42.16,322
243,2021-04-10,2021-04-10,1,268,1,22.54,268
244,2021-04-27,2021-04-27,1,251,1,11.69,251
245,2021-01-22,2021-03-04,17,305,3,644.64,346
246,2021-02-07,2021-03-23,10,286,3,36.87,330
247,2021-07-04,2021-07-04,1,183,1,7.23,183
248,2021-03-24,2021-03-24,1,285,1,1.06,285
249,2021-02-05,2021-03-06,2,303,2,12.450000000000001,332
250,2021-04-06,2021-04-06,19,272,1,90.33,272
251,2021-03-27,2021-08-07,4,149,2,19.57,282
252,2021-02-21,2021-02-21,2,316,1,8.46,316
253,2021-02-26,2021-02-26,3,311,1,42.42,311
254,2021-05-26,2021-05-26,4,222,1,28.05,222
255,2021-05-14,2021-05-14,1,234,1,3.69,234
256,2021-02-18,2021-02-18,9,319,1,62.37,319
257,2021-02-02,2021-02-02,11,335,1,84.81,335
258,2021-02-09,2021-02-09,1,328,1,7.9,328
259,2021-02-01,2021-03-31,9,278,2,73.72,336
260,2021-01-13,2021-03-27,10,282,4,46.18,355
261,2021-08-13,2021-08-13,2,143,1,15.12,143
262,2021-01-27,2021-04-05,9,273,3,163.92,341
263,2021-01-04,2021-04-10,13,268,4,111.32,364
264,2021-03-03,2021-03-03,3,306,1,21.3,306
265,2021-08-30,2021-12-01,4,33,3,23.39,126
266,2021-01-15,2021-03-22,31.5,287,6,555.29,353
267,2021-01-12,2021-02-22,9,315,2,173.45000000000002,356
268,2021-04-17,2021-04-17,1,261,1,6.21,261
269,2021-01-06,2021-01-06,3,362,1,10.27,362
270,2021-02-01,2021-02-01,2,336,1,7.41,336
271,2021-03-27,2021-03-27,1,282,1,10.02,282
272,2021-01-26,2021-01-26,2,342,1,14.620000000000001,342
273,2021-01-12,2021-01-12,1,356,1,4.26,356
274,2021-01-04,2021-03-05,26,304,6,199.78,364
275,2021-01-03,2021-03-11,23,298,11,131.47,365
276,2021-07-14,2021-07-14,2,173,1,7.5,173
277,2021-01-22,2021-01-22,2,346,1,4.12,346
278,2021-06-10,2021-06-10,1,207,1,11.04,207
279,2021-02-11,2021-03-10,19,299,4,103.29,326
280,2021-02-05,2021-02-05,1,332,1,9,332
281,2021-03-18,2021-03-18,1,291,1,7.57,291
282,2021-01-13,2021-04-06,23,272,7,151.27,355
283,2021-02-06,2021-02-06,4,331,1,19.29,331
284,2021-03-21,2021-03-21,2,288,1,9.69,288
285,2021-04-12,2021-04-27,4,251,2,12.56,266
286,2021-03-11,2021-03-11,3,298,1,14.02,298
287,2021-04-29,2021-04-29,1,249,1,6.07,249
288,2021-02-01,2021-04-28,15,250,8,65.59,336
289,2021-01-04,2021-03-19,8,290,5,44.71,364
290,2021-03-12,2021-03-12,2,297,1,16.240000000000002,297
291,2021-02-11,2021-02-11,1,326,1,5.87,326
292,2021-03-18,2021-03-18,1,291,1,4.94,291
293,2021-03-12,2021-09-02,4,123,2,22.88,297
294,2021-02-01,2021-02-01,1,336,1,8.52,336
295,2021-01-11,2021-01-11,2,357,1,13.170000000000002,357
296,2021-01-16,2021-04-19,12,259,2,74.73,352
297,2021-02-28,2021-02-28,7,309,1,72.43,309
298,2021-06-22,2021-06-30,3,187,2,22.42,195
299,2021-01-08,2021-01-08,3,360,1,11.030000000000001,360
300,2021-01-29,2021-01-29,3,339,1,6.61,339
301,2021-01-14,2021-03-13,15,296,3,104.88,354
302,2021-02-05,2021-02-05,2,332,1,28.980000000000004,332
303,2021-03-25,2021-03-25,2,284,1,10.969999999999999,284
304,2021-01-12,2021-01-12,4,356,1,35.69,356
305,2021-03-23,2021-03-23,3,286,1,47.120000000000005,286
306,2021-07-08,2021-07-08,1,179,1,44.37,179
307,2021-01-11,2021-01-11,1,357,1,7.94,357
308,2021-02-12,2021-08-17,10,139,7,169.93,325
309,2021-06-17,2021-06-17,1,200,1,4.49,200
310,2021-12-13,2021-12-13,2,21,1,13.93,21
311,2021-03-09,2021-03-09,3,300,1,50.69,300
312,2021-01-07,2021-01-28,6,340,2,78.88,361
313,2021-01-29,2021-01-29,2,339,1,10.5,339
314,2021-01-21,2021-07-05,2,182,2,8.04,347
315,2021-03-30,2021-03-30,5,279,1,21.83,279
316,2021-01-16,2021-01-16,3,352,1,10.46,352
317,2021-03-16,2021-03-16,2,293,1,14.27,293
318,2021-01-17,2021-01-17,1,351,1,45.41,351
319,2021-01-29,2021-01-29,9,339,1,213.57,339
320,2021-01-27,2021-01-27,6,341,1,92.17999999999999,341
321,2021-02-19,2021-02-19,2,318,1,7.539999999999999,318
322,2021-01-15,2021-03-01,6,308,2,79.21,353
323,2021-03-27,2021-03-27,3,282,1,15.18,282
324,2021-03-05,2021-03-05,3,304,1,25.29,304
325,2021-03-05,2021-03-08,10,301,2,48.089999999999996,304
326,2021-04-07,2021-04-07,1,271,1,14.97,271
327,2021-02-11,2021-02-11,2,326,1,13.059999999999999,326
328,2021-02-10,2021-06-10,8,207,2,85.09,327
329,2021-01-19,2021-01-19,3,349,1,25.689999999999998,349
330,2021-01-22,2021-01-22,1,346,1,10.02,346
331,2021-01-29,2021-01-29,1,339,1,3.41,339
332,2021-01-11,2021-03-30,11,279,5,84.89,357
333,2021-03-14,2021-08-15,2,141,2,12,295
334,2021-01-14,2021-04-19,34,259,9,645.78,354
335,2021-02-28,2021-02-28,1,309,1,4.91,309
336,2021-03-24,2021-03-24,1,285,1,6.33,285
337,2021-01-29,2021-04-19,3,259,2,21.78,339
338,2021-02-17,2021-03-09,9,300,2,115.78999999999999,320
339,2021-01-05,2021-03-10,66,299,4,777.18,363
340,2021-03-09,2021-03-09,1,300,1,4.02,300
341,2021-01-20,2021-01-20,1,348,1,11.25,348
342,2021-01-13,2021-04-24,9,254,5,33.99,355
343,2021-01-02,2021-01-02,1,366,1,6.75,366
344,2021-01-06,2021-04-22,16,256,9,82.78,362
345,2021-01-19,2021-01-27,2,341,2,11.68,349
346,2021-02-23,2021-05-26,6,222,3,84.06,314
347,2021-02-02,2021-03-09,16,300,5,120.54,335
348,2021-03-13,2021-08-28,4,128,2,73.71,296
349,2021-03-05,2021-03-05,1,304,1,12.25,304
350,2021-01-05,2021-01-21,7,347,2,17.259999999999998,363
351,2021-03-11,2021-03-11,2,298,1,17.18,298
352,2021-02-13,2021-02-13,2,324,1,36.97,324
353,2021-01-05,2021-04-21,8,257,7,89.14,363
354,2021-03-23,2021-06-04,6,213,2,92.92999999999999,286
355,2021-02-20,2021-02-20,74,317,1,20.19,317
356,2021-02-03,2021-02-03,1,334,1,6.62,334
357,2021-02-07,2021-02-26,5,311,3,37.42,330
358,2021-09-09,2021-10-11,3,84,2,14.309999999999999,116
359,2021-01-15,2021-01-15,1,353,1,3.63,353
360,2021-02-22,2021-02-22,2,315,1,3.53,315
361,2021-02-06,2021-02-06,4,331,1,19.51,331
362,2021-07-16,2021-07-16,3,171,1,40.13,171
363,2021-05-04,2021-05-04,2,244,1,16.38,244
364,2021-03-18,2021-03-18,1,291,1,19.63,291
365,2021-03-19,2021-03-19,1,290,1,3.82,290
366,2021-01-05,2021-03-03,12,306,7,84.3,363
367,2021-01-31,2021-01-31,1,337,1,3.96,337
368,2021-01-05,2021-02-06,4,331,2,34.03,363
369,2021-02-24,2021-02-24,1,313,1,9,313
370,2021-01-25,2021-01-25,3,343,1,5.19,343
371,2021-02-27,2021-02-27,1,310,1,2.21,310
372,2021-03-12,2021-03-12,2,297,1,16.36,297
373,2021-01-06,2021-01-06,2,362,1,15.36,362
374,2021-01-14,2021-03-07,6,302,2,15.82,354
375,2021-01-18,2021-02-05,7,332,2,70.27,350
376,2021-02-14,2021-02-14,1,323,1,3.81,323
377,2021-04-08,2021-04-08,2,270,1,11,270
378,2021-08-14,2021-08-14,1,142,1,6.75,142
379,2021-01-14,2021-01-14,2,354,1,36.63,354
380,2021-03-25,2021-03-25,1,284,1,4.02,284
381,2021-02-11,2021-02-11,2,326,1,6.68,326
382,2021-07-29,2021-08-12,9,144,2,75.81,158
383,2021-02-10,2021-02-10,6,327,1,68.65,327
384,2021-01-20,2021-01-20,2,348,1,39.75,348
385,2021-06-09,2021-06-09,2,208,1,22.33,208
386,2021-01-27,2021-06-29,15,188,6,110.31,341
387,2021-04-02,2021-04-02,1,276,1,9.5,276
388,2021-05-27,2021-05-27,5,221,1,34.629999999999995,221
389,2021-02-02,2021-02-02,1,335,1,8.18,335
390,2021-03-06,2021-03-06,3,303,1,14.44,303
391,2021-01-08,2021-01-08,4,360,1,21.86,360
392,2021-06-22,2021-06-22,1,195,1,5.38,195
393,2021-02-18,2021-03-06,11,303,2,88.61999999999999,319
394,2021-01-20,2021-02-22,2,315,2,13.31,348
395,2021-01-07,2021-02-14,15,323,4,414.46,361
396,2021-01-30,2021-01-30,1,338,1,5.79,338
397,2021-04-06,2021-04-06,2,272,1,21.86,272
398,2021-01-21,2021-08-17,8,139,5,150.93,347
399,2021-01-02,2021-01-02,2,366,1,10.43,366
400,2021-05-15,2021-05-15,1,233,1,4.81,233
401,2021-07-01,2021-07-01,2,186,1,6.54,186
402,2021-04-21,2021-04-21,1,257,1,3.88,257
403,2021-02-19,2021-04-02,6,276,3,32.62,318
404,2021-12-09,2021-12-09,1,25,1,15.08,25
405,2021-02-01,2021-03-26,3,283,2,51.19,336
406,2021-03-04,2021-03-04,2,305,1,18.880000000000003,305
407,2021-03-21,2021-03-21,1,288,1,7.44,288
408,2021-02-11,2021-07-09,12,178,3,142.83,326
409,2021-01-28,2021-01-28,1,340,1,7.88,340
410,2021-01-07,2021-04-05,14,273,4,81.33,361
411,2021-03-15,2021-03-15,1,294,1,2.97,294
412,2021-02-01,2021-02-08,5,329,2,60.59,336
413,2021-02-06,2021-06-06,4,211,2,31.43,331
414,2021-01-28,2021-07-07,6,180,2,67.23,340
415,2021-02-01,2021-03-12,5,297,3,31.8,336
416,2021-03-02,2021-03-13,4,296,3,52.15,307
417,2021-05-06,2021-05-06,1,242,1,9.13,242
418,2021-02-23,2021-02-23,1,314,1,19.12,314
419,2021-03-22,2021-03-22,2,287,1,200.63,287
420,2021-01-20,2021-08-06,66,150,2,45.82,348
421,2021-03-03,2021-03-03,3,306,1,33.4,306
422,2021-01-23,2021-02-22,3,315,2,28.36,345
423,2021-03-15,2021-07-01,4,186,2,208.23000000000002,294
424,2021-01-04,2021-04-02,15,276,6,164.98,364
425,2021-02-02,2021-02-02,1,335,1,3.34,335
426,2021-05-11,2021-05-11,1,237,1,11.5,237
427,2021-01-02,2021-01-02,3,366,1,15.19,366
428,2021-01-04,2021-01-04,1,364,1,4.91,364
429,2021-01-13,2021-01-13,6,355,1,25.53,355
430,2021-02-16,2021-02-16,1,321,1,21.54,321
431,2021-02-21,2021-02-21,1,316,1,5.03,316
432,2021-03-04,2021-03-25,25,284,2,288.31,305
433,2021-02-24,2021-02-24,2,313,1,15.329999999999998,313
434,2021-02-17,2021-02-17,4,320,1,15.61,320
435,2021-02-16,2021-02-16,1,321,1,14.37,321
436,2021-06-27,2021-09-05,4,120,3,32.08,190
437,2021-04-22,2021-04-22,1,256,1,4.02,256
438,2021-04-22,2021-04-22,10,256,1,5.73,256
439,2021-03-06,2021-03-06,6,303,1,87.03,303
440,2021-06-10,2021-06-10,1,207,1,7.27,207
441,2021-03-23,2021-03-23,1,286,1,25.18,286
442,2021-11-15,2021-11-15,2,49,1,11.75,49
443,2021-04-02,2021-04-02,3,276,1,12.64,276
444,2021-03-14,2021-04-21,6,257,2,25.540000000000003,295
445,2021-02-17,2021-02-17,1,320,1,24.93,320
446,2021-08-03,2021-08-10,2,146,2,14.760000000000002,153
447,2021-02-20,2021-05-20,6,228,3,62.04,317
448,2021-01-12,2021-05-07,2,241,2,66.04,356
449,2021-01-18,2021-01-18,10,350,1,26.740000000000002,350
450,2021-04-11,2021-04-17,4,261,3,47.48,267
451,2021-12-03,2021-12-03,2,31,1,7.5,31
452,2021-02-15,2021-02-15,2,322,1,18.8,322
453,2021-12-01,2021-12-01,1,33,1,21.12,33
454,2021-01-02,2021-02-23,3,314,2,10.440000000000001,366
455,2021-04-28,2021-04-28,2,250,1,116.46,250
456,2021-02-06,2021-03-27,3,282,2,15.11,331
457,2021-02-19,2021-02-19,1,318,1,55.43,318
458,2021-01-09,2021-02-26,2,311,2,39.82,359
459,2021-01-15,2021-01-15,2,353,1,7.74,353
460,2021-07-15,2021-07-15,1,172,1,6.75,172
461,2021-01-29,2021-01-29,2,339,1,22.19,339
462,2021-01-08,2021-01-08,2,360,1,18.54,360
463,2021-06-03,2021-06-03,1,214,1,8.46,214
464,2021-02-01,2021-02-01,3,336,1,48.150000000000006,336
465,2021-04-01,2021-04-01,1,277,1,3.18,277
466,2021-03-26,2021-03-26,4,283,1,48.69,283
467,2021-02-08,2021-02-08,1,329,1,9.35,329
468,2021-01-08,2021-01-08,1,360,1,1.36,360
469,2021-04-04,2021-04-11,6,267,3,24.92,274
470,2021-03-26,2021-03-26,2,283,1,11.18,283
471,2021-03-30,2021-03-30,1,279,1,4.26,279
472,2021-01-11,2021-09-22,7,103,3,41.83,357
473,2021-01-02,2021-03-24,16,285,5,75.8,366
474,2021-02-15,2021-02-15,4,322,1,23.42,322
475,2021-10-12,2021-10-12,4,83,1,25.98,83
476,2021-02-25,2021-02-25,1,312,1,3.07,312
477,2021-01-04,2021-08-24,3,132,2,73.5,364
478,2021-09-18,2021-09-18,1,107,1,19.68,107
479,2021-07-15,2021-07-15,1,172,1,35.37,172
480,2021-04-07,2021-04-07,1,271,1,5.73,271
481,2021-01-14,2021-03-13,3,296,2,15.280000000000001,354
482,2021-01-18,2021-03-30,7,279,3,41.9,350
483,2021-01-22,2021-01-22,1,346,1,15.99,346
484,2021-08-27,2021-08-27,1,129,1,11.62,129
485,2021-03-25,2021-04-15,5,263,2,79.08,284
486,2021-01-13,2021-01-13,2,355,1,6.01,355
487,2021-01-23,2021-01-23,1,345,1,7.9,345
488,2021-02-25,2021-02-25,3,312,1,16.580000000000002,312
489,2021-01-30,2021-01-30,1,338,1,14.92,338
